PLAYER,POS,POS_RANK,IS_TIED,CTRY,TO_PAR,MADE_CUT,CUT_MARGIN,ROUND_1_COURSE,ROUND_1_SCORE,ROUND_1_TO_PAR,ROUND_2_COURSE,ROUND_2_START,ROUND_2_SCORE,ROUND_2_TO_PAR,TOTAL_SCORE,COURSE_SEQUENCE,R1_HOLE_1,R1_HOLE_2,R1_HOLE_3,R1_HOLE_4,R1_HOLE_5,R1_HOLE_6,R1_HOLE_7,R1_HOLE_8,R1_HOLE_9,R1_HOLE_10,R1_HOLE_11,R1_HOLE_12,R1_HOLE_13,R1_HOLE_14,R1_HOLE_15,R1_HOLE_16,R1_HOLE_17,R1_HOLE_18,R1_OUT,R1_IN,R2_HOLE_1,R2_HOLE_2,R2_HOLE_3,R2_HOLE_4,R2_HOLE_5,R2_HOLE_6,R2_HOLE_7,R2_HOLE_8,R2_HOLE_9,R2_HOLE_10,R2_HOLE_11,R2_HOLE_12,R2_HOLE_13,R2_HOLE_14,R2_HOLE_15,R2_HOLE_16,R2_HOLE_17,R2_HOLE_18,R2_OUT,R2_IN,R1_EAGLES,R1_BIRDIES,R1_PARS,R1_BOGEYS,R1_DOUBLES_PLUS,R2_EAGLES,R2_BIRDIES,R2_PARS,R2_BOGEYS,R2_DOUBLES_PLUS,BEST_NINE_SCORE,BEST_NINE_LABEL,ROUND_DIFFERENTIAL,IMPROVED_R2,SCORING_AVERAGE,CONSISTENCY_SCORE,LAKE_SCORE,OCEAN_SCORE,COURSE_DIFFERENTIAL,R1_FRONT_VS_BACK,R2_FRONT_VS_BACK,STARTED_HOT,FINISHED_STRONG,MOMENTUM_SCORE,R1_RANK,R2_RANK,RANK_CHANGE,PERCENTILE,HAS_COMPLETE_HOLES,MISSING_HOLES_COUNT
Preston Stout,1,1,False,United States of America,-8,True,63,Ocean,67,-3,Lake,Front,65,-5,132,Ocean→Lake,4,4,4,4,3,3,4,5,3,3,4,4,3,4,5,4,3,3,34,33,4,4,3,4,4,4,3,3,3,4,4,5,2,4,2,4,4,4,32,33,0.0,6.0,9.0,3.0,0.0,0.0,6.0,11.0,1.0,0.0,32,R2 Front,-2,True,66.0,2,65,67,-2,1,-1,False,False,0.4,,1,,0.3205128205128205,True,0
Tommy Morrison,2,2,False,United States of America,-6,True,62,Ocean,66,-4,Lake,Front,68,-2,134,Ocean→Lake,4,3,4,5,2,4,3,4,3,2,5,4,4,4,4,4,3,4,32,34,4,3,3,4,5,4,4,3,3,4,4,4,3,4,2,5,5,4,33,35,0.0,4.0,14.0,0.0,0.0,0.0,3.0,14.0,1.0,0.0,32,R1 Front,2,False,67.0,2,68,66,2,-2,-2,True,False,0.6,,2,,0.641025641025641,True,0
Miles Russell,3,3,False,United States of America,-4,True,61,Lake,70,0,Ocean,Front,66,-4,136,Lake→Ocean,5,4,3,5,5,5,2,3,4,4,4,4,3,4,3,4,4,4,36,34,4,4,4,4,3,3,4,3,3,3,5,5,4,3,4,4,2,4,32,34,1.0,2.0,11.0,4.0,0.0,0.0,6.0,10.0,2.0,0.0,32,R2 Front,-4,True,68.0,4,70,66,4,2,-2,False,False,0.8,,3,,0.9615384615384616,True,0
Logan Reilly,4,4,False,United States of America,-3,True,60,Ocean,67,-3,Lake,Back,70,0,137,Ocean→Lake,4,3,4,4,3,5,3,3,4,4,6,5,3,3,4,4,2,3,33,34,5,3,4,5,4,4,3,4,3,5,3,4,3,4,3,5,4,4,35,35,0.0,7.0,7.0,4.0,0.0,0.0,5.0,8.0,5.0,0.0,33,R1 Front,3,False,68.5,3,70,67,3,-1,0,True,False,0.4,,4,,1.282051282051282,True,0
Nate Smith,T5,5,True,United States of America,-2,True,59,Lake,69,-1,Ocean,Front,69,-1,138,Lake→Ocean,5,4,3,4,4,4,3,3,4,4,4,3,4,4,3,4,4,5,34,35,4,3,3,4,3,4,4,4,4,2,5,5,4,4,4,4,3,5,33,36,0.0,4.0,11.0,3.0,0.0,0.0,3.0,13.0,2.0,0.0,33,R2 Front,0,False,69.0,0,69,69,0,-1,-3,True,False,1.0,,5,,1.6025641025641024,True,0
Reed Greyserman,T5,5,True,United States of America,-2,True,59,Lake,69,-1,Ocean,Back,69,-1,138,Lake→Ocean,5,5,3,4,4,4,3,3,5,3,4,4,3,3,3,5,4,4,36,33,4,3,4,5,3,5,4,4,3,3,4,4,4,4,4,4,3,4,35,34,0.0,4.0,11.0,3.0,0.0,0.0,2.0,15.0,1.0,0.0,33,R1 Back,0,False,69.0,0,69,69,0,3,1,False,True,1.0,,5,,1.6025641025641024,True,0
Bryan Kim,T5,5,True,United States of America,-2,True,59,Lake,70,0,Ocean,Back,68,-2,138,Lake→Ocean,4,4,6,4,3,4,4,3,3,5,4,4,2,4,4,4,4,4,35,35,4,3,4,5,2,4,3,4,4,3,5,4,5,4,4,4,3,3,33,35,0.0,5.0,10.0,2.0,1.0,0.0,3.0,14.0,1.0,0.0,33,R2 Front,-2,True,69.0,2,70,68,2,0,-2,False,False,0.4,,5,,1.6025641025641024,True,0
Daniel Bennett,T8,8,True,South Africa,-1,True,56,Ocean,69,-1,Lake,Front,70,0,139,Ocean→Lake,5,3,4,5,3,4,4,3,3,3,6,4,4,4,4,4,3,3,34,35,5,3,3,3,4,4,5,3,5,4,4,4,3,4,3,5,4,4,35,35,0.0,3.0,13.0,2.0,0.0,0.0,3.0,12.0,3.0,0.0,34,R1 Front,1,False,69.5,1,70,69,1,-1,0,True,False,0.8,,8,,2.564102564102564,True,0
Daniel Svärd,T8,8,True,Sweden,-1,True,56,Ocean,68,-2,Lake,Front,71,1,139,Ocean→Lake,4,4,4,4,3,4,3,3,3,3,4,5,3,6,4,4,3,4,32,36,5,5,3,5,3,5,5,3,4,3,4,4,2,4,3,4,5,4,38,33,0.0,6.0,9.0,2.0,1.0,0.0,4.0,9.0,5.0,0.0,32,R1 Front,3,False,69.5,3,71,68,3,-4,5,True,True,1.4,,8,,2.564102564102564,True,0
Jase Summy,T8,8,True,United States of America,-1,True,56,Lake,70,0,Ocean,Back,69,-1,139,Lake→Ocean,5,4,3,4,5,3,4,2,4,4,4,4,3,4,3,5,5,4,34,36,5,3,4,4,3,5,3,3,3,4,5,4,4,4,4,4,3,4,33,36,0.0,2.0,14.0,2.0,0.0,0.0,4.0,11.0,3.0,0.0,33,R2 Front,-1,True,69.5,1,70,69,1,-2,-3,True,False,1.2,,8,,2.564102564102564,True,0
