POS,CTRY,PLAYER,TO_PAR,ROUND_1_COURSE,ROUND_1_SCORE,ROUND_2_COURSE,ROUND_2_START,ROUND_2_SCORE,TOTAL
1,United States of America,Preston Stout,-8,Ocean,67,Lake,Front,65.0,132
2,United States of America,Tommy Morrison,-6,Ocean,66,Lake,Front,68.0,134
3,United States of America,Miles Russell,-4,Lake,70,Ocean,Front,66.0,136
4,United States of America,Logan Reilly,-3,Ocean,67,Lake,Back,70.0,137
T5,United States of America,Nate Smith,-2,Lake,69,Ocean,Front,69.0,138
T5,United States of America,Reed Greyserman,-2,Lake,69,Ocean,Back,69.0,138
T5,United States of America,Bryan Kim,-2,Lake,70,Ocean,Back,68.0,138
T8,South Africa,Daniel Bennett,-1,Ocean,69,Lake,Front,70.0,139
T8,Sweden,Daniel Svärd,-1,Ocean,68,Lake,Front,71.0,139
T8,United States of America,Jase Summy,-1,Lake,70,Ocean,Back,69.0,139
T8,United States of America,Garrett Risner,-1,Lake,71,Ocean,Back,68.0,139
T8,United States of America,Eric Lee,-1,Ocean,68,Lake,Back,71.0,139
T8,United States of America,Jackson Koivun,-1,Ocean,68,Lake,Back,71.0,139
T8,England,Charlie Forster,-1,Ocean,66,Lake,Front,73.0,139
T8,United States of America,William Sides,-1,Ocean,71,Lake,Front,68,139
T16,United States of America,Andrew Bailey,E,Ocean,72,Lake,Back,68.0,140
T16,Iceland,Arni Sveinsson,E,Ocean,68,Lake,Front,72.0,140
T16,South Africa,Christiaan Maas,E,Lake,69,Ocean,Back,71.0,140
T16,United States of America,Mahanth Chirravuri,E,Ocean,73,Lake,Front,67.0,140
T16,United States of America,Frankie Harris,E,Lake,72,Ocean,Front,68.0,140
T16,England,Luke Poulter,E,Ocean,70,Lake,Front,70.0,140
T16,United States of America,Davis Johnson,E,Lake,68,Ocean,Back,72.0,140
T23,United States of America,Billy Davis,+1,Ocean,69,Lake,Back,72.0,141
T23,United States of America,John Daly II,+1,Lake,74,Ocean,Front,67.0,141
T23,United States of America,Clark Van Gaalen,+1,Ocean,71,Lake,Back,70.0,141
T23,United States of America,Parker Claxton,+1,Lake,72,Ocean,Back,69.0,141
T23,United States of America,David Liechty,+1,Lake,72,Ocean,Front,69.0,141
T23,United States of America,Chase Nevins,+1,Lake,71,Ocean,Front,70.0,141
T23,United States of America,Tom Fischer,+1,Ocean,71,Lake,Front,70.0,141
T23,United States of America,Nate Gahman,+1,Ocean,71,Lake,Front,70.0,141
T23,England,Tyler Weaver,+1,Lake,71,Ocean,Back,70.0,141
T23,Thailand,Pongsapak Laopakdee,+1,Ocean,70,Lake,Front,71.0,141
T33,United States of America,Josh Duangmanee,+2,Lake,73,Ocean,Front,69.0,142
T33,Germany,Wolfgang Glawe,+2,Lake,72,Ocean,Front,70.0,142
T33,United States of America,William Jennings,+2,Ocean,70,Lake,Back,72.0,142
T33,United States of America,Cameron Tankersley,+2,Lake,69,Ocean,Front,73.0,142
T33,Japan,Rintaro Nakano,+2,Lake,75,Ocean,Back,67.0,142
T33,Scotland,Connor Graham,+2,Lake,72,Ocean,Front,70.0,142
T33,United States of America,Max Herendeen,+2,Ocean,69,Lake,Front,73.0,142
T33,United States of America,Andrew Tan,+2,Lake,75,Ocean,Front,67.0,142
T33,United States of America,Aston Lim,+2,Ocean,71,Lake,Back,71.0,142
T33,United States of America,Jackson Herrington,+2,Lake,69,Ocean,Front,73.0,142
T33,United States of America,Cohen Trolio,+2,Lake,72,Ocean,Front,70.0,142
T33,United States of America,Kolton Crawford,+2,Lake,72,Ocean,Back,70.0,142
T33,United States of America,Ben James,+2,Ocean,72,Lake,Back,70.0,142
T33,United States of America,Cooper Claycomb,+2,Ocean,72,Lake,Front,70.0,142
T33,United States of America,Luke Colton,+2,Lake,70,Ocean,Back,72.0,142
T48,United States of America,Ryan Voois,+3,Ocean,71,Lake,Back,72.0,143
T48,United States of America,Emil Riegger,+3,Lake,72,Ocean,Front,71.0,143
T48,United States of America,Zachary Miller,+3,Ocean,70,Lake,Front,73.0,143
T48,United States of America,Payne Denman,+3,Lake,71,Ocean,Back,72.0,143
T48,United States of America,Marek Fleming,+3,Lake,75,Ocean,Back,68.0,143
T48,United States of America,Caleb Bond,+3,Ocean,75,Lake,Back,68.0,143
T48,Czechia,Filip Jakubcik,+3,Ocean,74,Lake,Front,69.0,143
T48,United States of America,Mason Howell,+3,Lake,70,Ocean,Front,73.0,143
T48,New Zealand,Joshua Bai,+3,Lake,76,Ocean,Back,67.0,143
T48,United States of America,Pennson Badgett,+3,Ocean,71,Lake,Back,72.0,143
