PLAYER,ROUND,COURSE,HOLE_1,HOLE_2,HOLE_3,HOLE_4,HOLE_5,HOLE_6,HOLE_7,HOLE_8,HOLE_9,OUT,HOLE_10,HOLE_11,HOLE_12,HOLE_13,HOLE_14,HOLE_15,HOLE_16,HOLE_17,HOLE_18,IN,TOTAL,POS
Garrett Risner,1,Lake,4,4,3,4,4,4,5,2,5,35,5,4,4,3,3,3,5,5,4,36,71.0,
Garrett Risner,2,Ocean,4,4,4,4,3,4,3,3,4,33,3,4,3,4,4,4,4,4,5,35,68.0,
Eric Lee,1,Ocean,4,3,5,5,3,3,3,3,4,33,3,5,4,4,4,4,5,2,4,35,68.0,
Eric Lee,2,Lake,4,5,3,4,5,4,3,4,4,36,4,5,4,3,3,3,5,4,4,35,71.0,
Jackson Koivun,1,Ocean,4,4,4,4,3,3,4,4,4,34,2,5,4,3,5,4,4,3,4,34,68.0,
Jackson Koivun,2,Lake,5,4,3,4,5,4,3,3,4,35,4,4,5,3,3,3,5,4,5,36,71.0,
Charlie Forster,1,Ocean,4,3,4,5,2,3,4,3,3,31,3,4,4,3,4,4,4,3,6,35,66.0,
Charlie Forster,2,Lake,4,4,4,7,5,4,3,3,3,37,4,5,4,5,4,1,4,5,4,36,73.0,
William Sides,1,Ocean,4,3,5,5,2,3,4,4,4,34,3,5,4,4,5,3,5,3,5,37,71.0,
William Sides,2,Lake,4,4,4,4,4,3,3,4,5,35,3,4,4,2,4,3,5,4,4,33,68.0,
Andrew Bailey,1,Ocean,5,3,4,4,3,6,5,4,4,38,3,5,3,4,4,4,4,3,4,34,72.0,
Andrew Bailey,2,Lake,4,4,3,4,3,4,4,2,3,31,4,4,5,2,4,3,5,5,5,37,68.0,
Arni Sveinsson,1,Ocean,4,4,3,4,3,4,4,4,4,34,3,5,4,3,4,4,4,3,4,34,68.0,
Arni Sveinsson,2,Lake,5,4,4,4,3,4,4,3,4,35,4,6,4,3,4,3,5,4,4,37,72.0,
Christiaan Maas,1,Lake,4,4,3,4,5,4,5,2,3,34,4,4,4,3,4,3,5,4,4,35,69.0,
Christiaan Maas,2,Ocean,4,4,5,5,2,4,3,4,4,35,3,5,4,4,5,4,4,3,4,36,71.0,
Mahanth Chirravuri,1,Ocean,5,2,3,4,4,4,4,4,4,34,4,7,6,3,3,4,4,4,4,39,73.0,
Mahanth Chirravuri,2,Lake,4,4,3,4,5,4,4,2,4,34,4,4,4,3,3,3,4,4,4,33,67.0,
Frankie Harris,1,Lake,4,4,3,4,5,4,5,3,4,36,3,6,4,3,4,3,5,3,5,36,72.0,
Frankie Harris,2,Ocean,7,2,3,4,3,3,4,3,4,33,3,5,3,4,4,4,4,3,5,35,68.0,
Luke Poulter,1,Ocean,4,4,4,4,3,4,3,5,4,35,4,5,4,4,5,3,4,3,3,35,70.0,
Luke Poulter,2,Lake,4,5,3,3,4,4,3,4,4,34,4,4,4,3,6,3,4,4,4,36,70.0,
Davis Johnson,1,Lake,5,4,3,4,3,4,4,4,4,35,3,4,4,3,4,3,4,5,3,33,68.0,
Davis Johnson,2,Ocean,7,3,4,4,3,4,4,4,4,37,3,5,3,5,4,4,4,3,4,35,72.0,
Billy Davis,1,Ocean,4,3,4,5,3,4,4,4,4,35,3,4,5,4,4,3,4,3,4,34,69.0,
Billy Davis,2,Lake,5,5,4,5,4,4,4,3,3,37,4,3,4,3,4,4,4,4,5,35,72.0,
John Daly II,1,Lake,5,4,4,3,3,5,4,4,4,36,5,4,4,5,3,3,5,4,5,38,74.0,
John Daly II,2,Ocean,4,4,4,4,3,3,4,4,4,34,3,4,4,3,4,5,4,3,3,33,67.0,
Clark Van Gaalen,1,Ocean,5,3,4,4,3,4,8,4,4,39,2,4,4,3,4,5,4,3,3,32,71.0,
Clark Van Gaalen,2,Lake,4,5,3,4,6,4,4,3,3,36,4,4,3,3,3,2,5,5,5,34,70.0,
Parker Claxton,1,Lake,5,4,3,4,5,5,3,4,3,36,4,4,5,3,4,2,6,4,4,36,72.0,
Parker Claxton,2,Ocean,5,3,4,5,4,3,4,4,3,35,3,4,4,4,4,4,5,2,4,34,69.0,
